term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SP22,01/13/2022,4,1,tientt24,5032,1,GBH1101,,,,,1
SP22,01/13/2022,5,1,tientt24,5032,2,GBH1101,,,,,1
SP22,01/13/2022,6,1,tientt24,5032,3,GBH1101,,,,,1
SP22,01/15/2022,4,1,tientt24,5032,4,GBH1101,,,,,1
SP22,01/15/2022,5,1,tientt24,5032,5,GBH1101,,,,,1
SP22,01/15/2022,6,1,tientt24,5032,6,GBH1101,,,,,1
SP22,01/20/2022,4,1,tientt24,5032,7,GBH1101,,,,,1
SP22,01/20/2022,5,1,tientt24,5032,8,GBH1101,,,,,1
SP22,01/20/2022,6,1,tientt24,5032,9,GBH1101,,,,,1
SP22,01/22/2022,4,1,tientt24,5032,10,GBH1101,,,,,1
SP22,01/22/2022,5,1,tientt24,5032,11,GBH1101,,,,,1
SP22,01/22/2022,6,1,tientt24,5032,12,GBH1101,,,,,1
SP22,02/10/2022,4,1,tientt24,5032,13,GBH1101,,,,,1
SP22,02/10/2022,5,1,tientt24,5032,14,GBH1101,,,,,1
SP22,02/10/2022,6,1,tientt24,5032,15,GBH1101,,,,,1
SP22,02/12/2022,4,1,tientt24,5032,16,GBH1101,,,,,1
SP22,02/12/2022,5,1,tientt24,5032,17,GBH1101,,,,,1
SP22,02/12/2022,6,1,tientt24,5032,18,GBH1101,,,,,1
SP22,02/17/2022,4,1,tientt24,5032,19,GBH1101,,,,,1
SP22,02/17/2022,5,1,tientt24,5032,20,GBH1101,,,,,1
SP22,02/17/2022,6,1,tientt24,5032,21,GBH1101,,,,,1
SP22,02/19/2022,4,1,tientt24,5032,22,GBH1101,,,,,1
SP22,02/19/2022,5,1,tientt24,5032,23,GBH1101,,,,,1
SP22,02/19/2022,6,1,tientt24,5032,24,GBH1101,,,,,1
SP22,02/24/2022,4,1,tientt24,5032,25,GBH1101,,,,,1
SP22,02/24/2022,5,1,tientt24,5032,26,GBH1101,,,,,1
SP22,02/24/2022,6,1,tientt24,5032,27,GBH1101,,,,,1
SP22,02/26/2022,4,1,tientt24,5032,28,GBH1101,,,,,1
SP22,02/26/2022,5,1,tientt24,5032,29,GBH1101,,,,,1
SP22,02/26/2022,6,1,tientt24,5032,30,GBH1101,,,,,1
SP22,03/03/2022,4,1,tientt24,5032,31,GBH1101,,,,,1
SP22,03/03/2022,5,1,tientt24,5032,32,GBH1101,,,,,1
SP22,03/03/2022,6,1,tientt24,5032,33,GBH1101,,,,,1
SP22,03/05/2022,4,1,tientt24,5032,34,GBH1101,,,,,1
SP22,03/05/2022,5,1,tientt24,5032,35,GBH1101,,,,,1
SP22,03/05/2022,6,1,tientt24,5032,36,GBH1101,,,,,1
SP22,03/10/2022,4,1,tientt24,5032,37,GBH1101,,,,,1
SP22,03/10/2022,5,1,tientt24,5032,38,GBH1101,,,,,1
SP22,03/12/2022,4,1,tientt24,5032,39,GBH1101,,,,,1
SP22,03/12/2022,5,1,tientt24,5032,40,GBH1101,,,,,1
SP22,01/10/2022,4,2,liendp3,5033,1,GBH1101,,,,,1
SP22,01/10/2022,5,2,liendp3,5033,2,GBH1101,,,,,1
SP22,01/12/2022,4,2,liendp3,5033,3,GBH1101,,,,,1
SP22,01/12/2022,5,2,liendp3,5033,4,GBH1101,,,,,1
SP22,01/14/2022,5,2,liendp3,5033,5,GBH1101,,,,,1
SP22,01/14/2022,6,2,liendp3,5033,6,GBH1101,,,,,1
SP22,01/17/2022,4,2,liendp3,5033,7,GBH1101,,,,,1
SP22,01/17/2022,5,2,liendp3,5033,8,GBH1101,,,,,1
SP22,01/19/2022,4,2,liendp3,5033,9,GBH1101,,,,,1
SP22,01/19/2022,5,2,liendp3,5033,10,GBH1101,,,,,1
SP22,01/21/2022,5,2,liendp3,5033,11,GBH1101,,,,,1
SP22,01/21/2022,6,2,liendp3,5033,12,GBH1101,,,,,1
SP22,02/07/2022,4,2,liendp3,5033,13,GBH1101,,,,,1
SP22,02/07/2022,5,2,liendp3,5033,14,GBH1101,,,,,1
SP22,02/09/2022,4,2,liendp3,5033,15,GBH1101,,,,,1
SP22,02/09/2022,5,2,liendp3,5033,16,GBH1101,,,,,1
SP22,02/11/2022,5,2,liendp3,5033,17,GBH1101,,,,,1
SP22,02/11/2022,6,2,liendp3,5033,18,GBH1101,,,,,1
SP22,02/14/2022,4,2,liendp3,5033,19,GBH1101,,,,,1
SP22,02/14/2022,5,2,liendp3,5033,20,GBH1101,,,,,1
SP22,02/16/2022,4,2,liendp3,5033,21,GBH1101,,,,,1
SP22,02/16/2022,5,2,liendp3,5033,22,GBH1101,,,,,1
SP22,02/18/2022,5,2,liendp3,5033,23,GBH1101,,,,,1
SP22,02/18/2022,6,2,liendp3,5033,24,GBH1101,,,,,1
SP22,02/21/2022,4,2,liendp3,5033,25,GBH1101,,,,,1
SP22,02/21/2022,5,2,liendp3,5033,26,GBH1101,,,,,1
SP22,02/23/2022,4,2,liendp3,5033,27,GBH1101,,,,,1
SP22,02/23/2022,5,2,liendp3,5033,28,GBH1101,,,,,1
SP22,02/25/2022,5,2,liendp3,5033,29,GBH1101,,,,,1
SP22,02/25/2022,6,2,liendp3,5033,30,GBH1101,,,,,1
SP22,02/28/2022,4,2,liendp3,5033,31,GBH1101,,,,,1
SP22,02/28/2022,5,2,liendp3,5033,32,GBH1101,,,,,1
SP22,03/02/2022,4,2,liendp3,5033,33,GBH1101,,,,,1
SP22,03/02/2022,5,2,liendp3,5033,34,GBH1101,,,,,1
SP22,03/04/2022,5,2,liendp3,5033,35,GBH1101,,,,,1
SP22,03/04/2022,6,2,liendp3,5033,36,GBH1101,,,,,1
SP22,03/07/2022,4,2,liendp3,5033,37,GBH1101,,,,,1
SP22,03/07/2022,5,2,liendp3,5033,38,GBH1101,,,,,1
SP22,03/09/2022,4,2,liendp3,5033,39,GBH1101,,,,,1
SP22,03/09/2022,5,2,liendp3,5033,40,GBH1101,,,,,1
