term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SP22,2022-01-13,4,1,tientt24,5032,1,GBH1101,,,,,1
SP22,2022-01-13,5,1,tientt24,5032,2,GBH1101,,,,,1
SP22,2022-01-13,6,1,tientt24,5032,3,GBH1101,,,,,1
SP22,2022-01-15,4,1,tientt24,5032,4,GBH1101,,,,,1
SP22,2022-01-15,5,1,tientt24,5032,5,GBH1101,,,,,1
SP22,2022-01-15,6,1,tientt24,5032,6,GBH1101,,,,,1
SP22,2022-01-20,4,1,tientt24,5032,7,GBH1101,,,,,1
SP22,2022-01-20,5,1,tientt24,5032,8,GBH1101,,,,,1
SP22,2022-01-20,6,1,tientt24,5032,9,GBH1101,,,,,1
SP22,2022-01-22,4,1,tientt24,5032,10,GBH1101,,,,,1
SP22,2022-01-22,5,1,tientt24,5032,11,GBH1101,,,,,1
SP22,2022-01-22,6,1,tientt24,5032,12,GBH1101,,,,,1
SP22,2022-02-10,4,1,tientt24,5032,13,GBH1101,,,,,1
SP22,2022-02-10,5,1,tientt24,5032,14,GBH1101,,,,,1
SP22,2022-02-10,6,1,tientt24,5032,15,GBH1101,,,,,1
SP22,2022-02-12,4,1,tientt24,5032,16,GBH1101,,,,,1
SP22,2022-02-12,5,1,tientt24,5032,17,GBH1101,,,,,1
SP22,2022-02-12,6,1,tientt24,5032,18,GBH1101,,,,,1
SP22,2022-02-17,4,1,tientt24,5032,19,GBH1101,,,,,1
SP22,2022-02-17,5,1,tientt24,5032,20,GBH1101,,,,,1
SP22,2022-02-17,6,1,tientt24,5032,21,GBH1101,,,,,1
SP22,2022-02-19,4,1,tientt24,5032,22,GBH1101,,,,,1
SP22,2022-02-19,5,1,tientt24,5032,23,GBH1101,,,,,1
SP22,2022-02-19,6,1,tientt24,5032,24,GBH1101,,,,,1
SP22,2022-02-24,4,1,tientt24,5032,25,GBH1101,,,,,1
SP22,2022-02-24,5,1,tientt24,5032,26,GBH1101,,,,,1
SP22,2022-02-24,6,1,tientt24,5032,27,GBH1101,,,,,1
SP22,2022-02-26,4,1,tientt24,5032,28,GBH1101,,,,,1
SP22,2022-02-26,5,1,tientt24,5032,29,GBH1101,,,,,1
SP22,2022-02-26,6,1,tientt24,5032,30,GBH1101,,,,,1
SP22,2022-03-03,4,1,tientt24,5032,31,GBH1101,,,,,1
SP22,2022-03-03,5,1,tientt24,5032,32,GBH1101,,,,,1
SP22,2022-03-03,6,1,tientt24,5032,33,GBH1101,,,,,1
SP22,2022-03-05,4,1,tientt24,5032,34,GBH1101,,,,,1
SP22,2022-03-05,5,1,tientt24,5032,35,GBH1101,,,,,1
SP22,2022-03-05,6,1,tientt24,5032,36,GBH1101,,,,,1
SP22,2022-03-10,4,1,tientt24,5032,37,GBH1101,,,,,1
SP22,2022-03-10,5,1,tientt24,5032,38,GBH1101,,,,,1
SP22,2022-03-12,4,1,tientt24,5032,39,GBH1101,,,,,1
SP22,2022-03-12,5,1,tientt24,5032,40,GBH1101,,,,,1
SP22,2022-01-10,4,2,liendp3,5033,1,GBH1101,,,,,1
SP22,2022-01-10,5,2,liendp3,5033,2,GBH1101,,,,,1
SP22,2022-01-12,4,2,liendp3,5033,3,GBH1101,,,,,1
SP22,2022-01-12,5,2,liendp3,5033,4,GBH1101,,,,,1
SP22,2022-01-14,5,2,liendp3,5033,5,GBH1101,,,,,1
SP22,2022-01-14,6,2,liendp3,5033,6,GBH1101,,,,,1
SP22,2022-01-17,4,2,liendp3,5033,7,GBH1101,,,,,1
SP22,2022-01-17,5,2,liendp3,5033,8,GBH1101,,,,,1
SP22,2022-01-19,4,2,liendp3,5033,9,GBH1101,,,,,1
SP22,2022-01-19,5,2,liendp3,5033,10,GBH1101,,,,,1
SP22,2022-01-21,5,2,liendp3,5033,11,GBH1101,,,,,1
SP22,2022-01-21,6,2,liendp3,5033,12,GBH1101,,,,,1
SP22,2022-02-07,4,2,liendp3,5033,13,GBH1101,,,,,1
SP22,2022-02-07,5,2,liendp3,5033,14,GBH1101,,,,,1
SP22,2022-02-09,4,2,liendp3,5033,15,GBH1101,,,,,1
SP22,2022-02-09,5,2,liendp3,5033,16,GBH1101,,,,,1
SP22,2022-02-11,5,2,liendp3,5033,17,GBH1101,,,,,1
SP22,2022-02-11,6,2,liendp3,5033,18,GBH1101,,,,,1
SP22,2022-02-14,4,2,liendp3,5033,19,GBH1101,,,,,1
SP22,2022-02-14,5,2,liendp3,5033,20,GBH1101,,,,,1
SP22,2022-02-16,4,2,liendp3,5033,21,GBH1101,,,,,1
SP22,2022-02-16,5,2,liendp3,5033,22,GBH1101,,,,,1
SP22,2022-02-18,5,2,liendp3,5033,23,GBH1101,,,,,1
SP22,2022-02-18,6,2,liendp3,5033,24,GBH1101,,,,,1
SP22,2022-02-21,4,2,liendp3,5033,25,GBH1101,,,,,1
SP22,2022-02-21,5,2,liendp3,5033,26,GBH1101,,,,,1
SP22,2022-02-23,4,2,liendp3,5033,27,GBH1101,,,,,1
SP22,2022-02-23,5,2,liendp3,5033,28,GBH1101,,,,,1
SP22,2022-02-25,5,2,liendp3,5033,29,GBH1101,,,,,1
SP22,2022-02-25,6,2,liendp3,5033,30,GBH1101,,,,,1
