term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SP22,2022-01-13,4,1,tientt24,5032,1,GBH1101,,,,,1
SP22,2022-01-13,5,1,tientt24,5032,2,GBH1101,,,,,1
SP22,2022-01-13,6,1,tientt24,5032,3,GBH1101,,,,,1
SP22,2022-01-15,4,1,tientt24,5032,4,GBH1101,,,,,1
SP22,2022-01-15,5,1,tientt24,5032,5,GBH1101,,,,,1
SP22,2022-01-15,6,1,tientt24,5032,6,GBH1101,,,,,1
SP22,2022-01-20,4,1,tientt24,5032,7,GBH1101,,,,,1
SP22,2022-01-20,5,1,tientt24,5032,8,GBH1101,,,,,1
SP22,2022-01-20,6,1,tientt24,5032,9,GBH1101,,,,,1
SP22,2022-01-22,4,1,tientt24,5032,10,GBH1101,,,,,1
SP22,2022-01-22,5,1,tientt24,5032,11,GBH1101,,,,,1
SP22,2022-01-22,6,1,tientt24,5032,12,GBH1101,,,,,1
SP22,2022-02-10,4,1,tientt24,5032,13,GBH1101,,,,,1
SP22,2022-02-10,5,1,tientt24,5032,14,GBH1101,,,,,1
SP22,2022-02-10,6,1,tientt24,5032,15,GBH1101,,,,,1
SP22,2022-02-12,4,1,tientt24,5032,16,GBH1101,,,,,1
SP22,2022-02-12,5,1,tientt24,5032,17,GBH1101,,,,,1
SP22,2022-02-12,6,1,tientt24,5032,18,GBH1101,,,,,1
SP22,2022-02-17,4,1,tientt24,5032,19,GBH1101,,,,,1
SP22,2022-02-17,5,1,tientt24,5032,20,GBH1101,,,,,1
SP22,2022-02-17,6,1,tientt24,5032,21,GBH1101,,,,,1
SP22,2022-02-19,4,1,tientt24,5032,22,GBH1101,,,,,1
SP22,2022-02-19,5,1,tientt24,5032,23,GBH1101,,,,,1
SP22,2022-02-19,6,1,tientt24,5032,24,GBH1101,,,,,1
SP22,2022-02-24,4,1,tientt24,5032,25,GBH1101,,,,,1
SP22,2022-02-24,5,1,tientt24,5032,26,GBH1101,,,,,1
SP22,2022-02-24,6,1,tientt24,5032,27,GBH1101,,,,,1
SP22,2022-02-26,4,1,tientt24,5032,28,GBH1101,,,,,1
SP22,2022-02-26,5,1,tientt24,5032,29,GBH1101,,,,,1
SP22,2022-02-26,6,1,tientt24,5032,30,GBH1101,,,,,1
SP22,2022-03-03,4,1,tientt24,5032,31,GBH1101,,,,,1
SP22,2022-03-03,5,1,tientt24,5032,32,GBH1101,,,,,1
SP22,2022-03-03,6,1,tientt24,5032,33,GBH1101,,,,,1
SP22,2022-03-05,4,1,tientt24,5032,34,GBH1101,,,,,1
SP22,2022-03-05,5,1,tientt24,5032,35,GBH1101,,,,,1
SP22,2022-03-05,6,1,tientt24,5032,36,GBH1101,,,,,1
SP22,2022-03-10,4,1,tientt24,5032,37,GBH1101,,,,,1
SP22,2022-03-10,5,1,tientt24,5032,38,GBH1101,,,,,1
SP22,2022-03-12,4,1,tientt24,5032,39,GBH1101,,,,,1
SP22,2022-03-12,5,1,tientt24,5032,40,GBH1101,,,,,1
SP22,2022-03-17,4,1,tientt24,5032,41,GBH1101,,,,,1
SP22,2022-03-17,5,1,tientt24,5032,42,GBH1101,,,,,1
SP22,2022-03-17,6,1,tientt24,5032,43,GBH1101,,,,,1
SP22,2022-03-19,4,1,tientt24,5032,44,GBH1101,,,,,1
SP22,2022-03-19,5,1,tientt24,5032,45,GBH1101,,,,,1
SP22,2022-03-19,6,1,tientt24,5032,46,GBH1101,,,,,1
SP22,2022-03-24,4,1,tientt24,5032,47,GBH1101,,,,,1
SP22,2022-03-24,5,1,tientt24,5032,48,GBH1101,,,,,1
SP22,2022-03-24,6,1,tientt24,5032,49,GBH1101,,,,,1
SP22,2022-03-26,4,1,tientt24,5032,50,GBH1101,,,,,1
SP22,2022-03-26,5,1,tientt24,5032,51,GBH1101,,,,,1
SP22,2022-03-26,6,1,tientt24,5032,52,GBH1101,,,,,1
SP22,2022-03-31,4,1,tientt24,5032,53,GBH1101,,,,,1
SP22,2022-03-31,5,1,tientt24,5032,54,GBH1101,,,,,1
SP22,2022-03-31,6,1,tientt24,5032,55,GBH1101,,,,,1
SP22,2022-04-02,4,1,tientt24,5032,56,GBH1101,,,,,1
SP22,2022-04-02,5,1,tientt24,5032,57,GBH1101,,,,,1
SP22,2022-04-02,6,1,tientt24,5032,58,GBH1101,,,,,1
SP22,2022-04-07,4,1,tientt24,5032,59,GBH1101,,,,,1
SP22,2022-04-07,5,1,tientt24,5032,60,GBH1101,,,,,1
SP22,2022-04-07,6,1,tientt24,5032,61,GBH1101,,,,,1
SP22,2022-04-09,4,1,tientt24,5032,62,GBH1101,,,,,1
SP22,2022-04-09,5,1,tientt24,5032,63,GBH1101,,,,,1
SP22,2022-04-09,6,1,tientt24,5032,64,GBH1101,,,,,1
SP22,2022-04-14,4,1,tientt24,5032,65,GBH1101,,,,,1
SP22,2022-04-14,5,1,tientt24,5032,66,GBH1101,,,,,1
SP22,2022-04-14,6,1,tientt24,5032,67,GBH1101,,,,,1
SP22,2022-04-16,4,1,tientt24,5032,68,GBH1101,,,,,1
SP22,2022-04-16,5,1,tientt24,5032,69,GBH1101,,,,,1
SP22,2022-04-16,6,1,tientt24,5032,70,GBH1101,,,,,1
