term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SU22,2022-05-25,2,G511,huynq121,491,4,GBC0902,,,,,0
SU22,2022-05-27,1,G511,huynq121,491,5,GBC0902,,,,,0
SU22,2022-05-27,2,G511,huynq121,491,6,GBC0902,,,,,0
SU22,2022-05-30,1,G511,huynq121,491,7,GBC0902,,,,,0
SU22,2022-05-30,2,G511,huynq121,491,8,GBC0902,,,,,0
SU22,2022-06-01,1,G511,huynq121,491,9,GBC0902,,,,,0
SU22,2022-06-01,2,G511,huynq121,491,10,GBC0902,,,,,0
SU22,2022-06-03,1,G511,huynq121,491,11,GBC0902,,,,,0
SU22,2022-06-03,2,G511,huynq121,491,12,GBC0902,,,,,0
SU22,2022-06-06,1,G511,huynq121,491,13,GBC0902,,,,,0
SU22,2022-06-06,2,G511,huynq121,491,14,GBC0902,,,,,0
SU22,2022-06-08,1,G511,huynq121,491,15,GBC0902,,,,,0
SU22,2022-06-08,2,G511,huynq121,491,16,GBC0902,,,,,0
SU22,2022-06-10,1,G511,huynq121,491,17,GBC0902,,,,,0
SU22,2022-06-10,2,G511,huynq121,491,18,GBC0902,,,,,0
SU22,2022-06-13,1,G511,huynq121,491,19,GBC0902,,,,,0
SU22,2022-06-13,2,G511,huynq121,491,20,GBC0902,,,,,0
SU22,2022-06-15,1,G511,huynq121,491,21,GBC0902,,,,,0
SU22,2022-06-15,2,G511,huynq121,491,22,GBC0902,,,,,0
SU22,2022-06-17,1,G511,huynq121,491,23,GBC0902,,,,,0
SU22,2022-06-17,2,G511,huynq121,491,24,GBC0902,,,,,0
SU22,2022-06-20,1,G511,huynq121,491,25,GBC0902,,,,,0
SU22,2022-06-20,2,G511,huynq121,491,26,GBC0902,,,,,0
SU22,2022-06-22,1,G511,huynq121,491,27,GBC0902,,,,,0
SU22,2022-06-22,2,G511,huynq121,491,28,GBC0902,,,,,0
SU22,2022-06-24,1,G511,huynq121,491,29,GBC0902,,,,,0
SU22,2022-06-24,2,G511,huynq121,491,30,GBC0902,,,,,0
SU22,2022-06-27,1,G511,huynq121,491,31,GBC0902,,,,,0
SU22,2022-06-27,2,G511,huynq121,491,32,GBC0902,,,,,0
SU22,2022-06-29,1,G511,huynq121,491,33,GBC0902,,,,,0
SU22,2022-06-29,2,G511,huynq121,491,34,GBC0902,,,,,0
SU22,2022-07-01,1,G511,huynq121,491,35,GBC0902,,,,,0
SU22,2022-07-01,2,G511,huynq121,491,36,GBC0902,,,,,0
SU22,2022-07-11,1,G511,huynq121,491,37,GBC0902,,,,,0
SU22,2022-07-11,2,G511,huynq121,491,38,GBC0902,,,,,0
SU22,2022-07-13,1,G511,huynq121,491,39,GBC0902,,,,,0
SU22,2022-07-13,2,G511,huynq121,491,40,GBC0902,,,,,0
